global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
40,1,0,"[52, 53, 54, 55, 56, 57]",0.0,0.0,0.0,0.0
41,1,1,"[52, 53]",45.3557243347168,0.0,0.0,0.0
42,1,2,"[54, 55]",57.89362716674805,0.0,0.0,0.0
43,1,3,"[56, 57]",85.79645538330078,0.0,0.0,0.0
44,1,4,"[58, 59, 60, 61, 62, 63]",42.0196418762207,0.0,0.0,0.0
45,1,5,"[58, 59]",527.8987998962402,0.0,0.0,0.0
46,1,6,"[60, 61]",792.5201110839844,0.0,0.0,0.0
47,1,7,"[62, 63]",230.6836051940918,0.0,0.0,0.0
48,1,8,"[36, 37, 38, 39, 40, 41]",0.0,0.0,0.0,0.0
49,1,9,"[36, 37]",63.50992774963379,0.0,0.0,0.0
50,1,10,"[38, 39]",53.74704360961914,0.0,0.0,0.0
51,1,11,"[40, 41]",189.96605682373047,0.0,0.0,0.0
52,1,12,"[42, 43, 44, 45, 46, 47]",468.6963844299317,0.0,0.0,0.0
53,1,13,"[42, 43]",84.33260345458984,0.0,0.0,0.0
54,1,14,"[44, 45]",101.02547836303712,0.0,0.0,0.0
55,1,15,"[46, 47]",75.70388984680176,0.0,0.0,0.0
0,0,0,"[4, 5, 6, 7, 8, 9]",0.0,0.0,0.0,0.0
1,0,1,"[4, 5]",206.44921112060547,0.0,0.0,0.0
2,0,2,"[6, 7]",378.7577095031738,0.0,0.0,0.0
3,0,3,"[8, 9]",730.4002380371094,0.0,0.0,0.0
4,0,4,"[10, 11, 12, 13, 14, 15]",388.7246417999268,0.0,0.0,0.0
5,0,5,"[10, 11]",578.1888160705566,0.0,0.0,0.0
6,0,6,"[12, 13]",662.6548233032227,0.0,0.0,0.0
7,0,7,"[14, 15]",1280.9034729003906,0.0,0.0,0.0
8,0,8,"[20, 21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
9,0,9,"[20, 21]",188.5760269165039,0.0,0.0,0.0
10,0,10,"[22, 23]",337.85555267333984,0.0,0.0,0.0
11,0,11,"[24, 25]",797.0677490234375,0.0,0.0,0.0
12,0,12,"[26, 27, 28, 29, 30, 31]",1437.3254013061523,0.0,0.0,0.0
13,0,13,"[26, 27]",1153.9549388885498,0.0,0.0,0.0
14,0,14,"[28, 29]",2627.33872795105,0.0,0.0,0.0
15,0,15,"[30, 31]",3207.3143577575684,0.0,0.0,0.0
120,3,0,"[52, 53, 54, 55, 56, 57]",1127.008014678955,398.8377876281738,257500.4164293295,257500.4164293295
121,3,1,"[52, 53]",2953.643756866455,1216.544635772705,330238.31412636564,330238.31412636564
122,3,2,"[54, 55]",3453.934635162353,1566.940654754639,356434.2111340704,356434.2111340704
123,3,3,"[56, 57]",2625.6987800598145,845.5603981018066,1130186.1356356929,1130186.1356356929
124,3,4,"[58, 59, 60, 61, 62, 63]",3866.822742462158,1753.4460487365725,406565.9091189919,406565.9091189919
125,3,5,"[58, 59]",1486.8122386932373,740.7656097412109,357269.6005030498,357269.6005030498
126,3,6,"[60, 61]",395.5396690368652,207.4532890319824,287370.01590776426,287370.01590776426
127,3,7,"[62, 63]",638.4472274780273,427.2219581604004,644801.2004063947,644801.2004063947
128,3,8,"[36, 37, 38, 39, 40, 41]",1886.1766510009768,597.2231521606445,304246.2628292586,304246.2628292586
129,3,9,"[36, 37]",1922.5969982147217,611.0456371307373,405802.8806692224,405802.8806692224
130,3,10,"[38, 39]",1452.1891498565674,551.7570285797119,446084.1230883634,446084.1230883634
131,3,11,"[40, 41]",1558.1201972961426,679.9618263244629,1415364.3021536816,1415364.3021536816
132,3,12,"[42, 43, 44, 45, 46, 47]",1796.1628246307373,1340.9003276824951,695290.8919096699,695290.8919096699
133,3,13,"[42, 43]",1483.3316593170166,1124.425006866455,446776.0936896805,446776.0936896805
134,3,14,"[44, 45]",2348.0860481262207,1894.7488555908203,301883.7130749225,301883.7130749225
135,3,15,"[46, 47]",3037.26642036438,631.7637004852295,588168.0522154416,588168.0522154416
80,2,0,"[4, 5, 6, 7, 8, 9]",6435.468700408936,261.357421875,67348.13268141943,67348.13268141943
81,2,1,"[20, 21]",5696.847217559814,260.9483337402344,96920.5375936596,96920.5375936596
82,2,2,"[22, 23]",4585.351058959961,232.96735763549805,121068.90473790914,121068.90473790914
83,2,3,"[24, 25]",6662.615272521973,645.1385116577148,476143.4593916147,476143.4593916147
84,2,4,"[10, 11, 12, 13, 14, 15]",8098.107044219971,1441.5044898986816,220715.0468380697,220715.0468380697
85,2,5,"[26, 27]",1742.3708248138428,454.8306083679199,182625.6439802161,182625.6439802161
86,2,6,"[28, 29]",2562.9815158843994,740.9180488586426,156608.86083177853,156608.86083177853
87,2,7,"[30, 31]",2005.915283203125,610.3529663085938,355002.09203981544,355002.09203981544
