global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr,trap_name
0,0,0,"[4, 5, 6, 7, 8, 9]",47886.22272109985,20264.37073707581,41095232.68864119,18407452.5199052,ACL 2.01
1,0,1,"[4, 5]",136311.54922103882,91789.664144516,18454807.91309838,11952033.764080524,LCM 100
2,0,2,"[6, 7]",157468.9644088745,102523.6614265442,19703984.183295146,12707962.228865257,LCM 101
3,0,3,"[8, 9]",214556.71083068848,134958.80099487305,19943894.08123501,12815580.680592956,LCM 102
4,0,4,"[10, 11, 12, 13, 14, 15]",32336.74339199066,15181.674664020538,62682081.45370698,30182535.51529049,ACL 2.02
5,0,5,"[10, 11]",267122.2237434387,114063.61524009705,30577777.86597496,15807386.496367356,LCM 103
6,0,6,"[12, 13]",318792.4619636536,113906.0807056427,33229470.402171586,16792771.650887474,LCM 104
7,0,7,"[14, 15]",196270.8028678894,89380.31001091003,26105660.46207722,16052479.423765063,LCM 105
8,0,8,"[20, 21, 22, 23, 24, 25]",67264.53609085083,29779.651056289676,49433343.61784505,23004762.1312043,ACL 2.03
9,0,9,"[20, 21]",161914.5070514679,118496.25494766235,21238049.38446674,14502259.235444402,LCM 106
10,0,10,"[22, 23]",136415.0946674347,94592.9523563385,21079071.233994845,14021324.388024602,LCM 107
11,0,11,"[24, 25]",179682.26966285706,130469.023147583,19906284.53548632,14461640.467301045,LCM 108
12,0,12,"[26, 27, 28, 29, 30, 31]",74629.46599197388,36161.9258518219,66292359.37907268,33200875.94031125,ACL 2.04
13,0,13,"[26, 27]",131342.63352012634,93040.4130897522,22054490.32815911,15873177.556764357,LCM 109
14,0,14,"[28, 29]",156986.51597595215,116799.46957588196,20531071.27596404,15201823.091085097,LCM 110
15,0,15,"[30, 31]",153899.06445121765,102042.88381004332,16284110.665107884,11635432.236501424,LCM 111
40,1,0,"[52, 53, 54, 55, 56, 57]",48514.54117298126,21559.290165901184,42522945.69402343,20862163.9056915,ACL 2.05
41,1,1,"[52, 53]",79319.14341926575,54742.49056434631,18080053.55125607,12900273.076492902,LCM 112
42,1,2,"[54, 55]",114197.4533176422,78611.78883934021,20052431.27453536,13662159.943093756,LCM 113
43,1,3,"[56, 57]",125299.49253082275,74082.82491111755,21647000.797397863,12548440.511224393,LCM 114
44,1,4,"[58, 59, 60, 61, 62, 63]",77789.816655159,31218.76404285431,65698428.21835101,28964360.033452105,ACL 2.06
45,1,5,"[58, 59]",241667.2994365692,119978.0779762268,22730648.43472371,14566949.319692496,LCM 115
46,1,6,"[60, 61]",166391.66808891296,56575.20258331299,29326364.14938302,14184260.978082491,LCM 116
47,1,7,"[62, 63]",236227.49678611755,67081.18558311462,29433267.699757744,13137438.199008996,LCM 117
48,1,8,"[36, 37, 38, 39, 40, 41]",27379.69578266144,12555.796675682068,35249443.6851458,18845672.90055959,ACL 2.07
49,1,9,"[36, 37]",156787.04843711853,101807.58798217772,17705255.45838958,12611317.687585147,LCM 118
50,1,10,"[38, 39]",134923.49891281128,86050.17032623291,20399105.06938263,13700353.400554027,LCM 119
51,1,11,"[40, 41]",156930.77325820923,97881.71703910828,21618995.92872488,14543409.69136992,LCM 120
52,1,12,"[42, 43, 44, 45, 46, 47]",85969.9967250824,36356.44856834412,65524709.70734653,31524575.293167703,ACL 2.08
53,1,13,"[42, 43]",77363.02658843994,46153.1199092865,21629742.395121,14784960.512937754,LCM 121
54,1,14,"[44, 45]",127549.22024726868,73273.45345687866,22450541.572538123,14623774.304440008,LCM 122
55,1,15,"[46, 47]",105638.94680786131,61358.9063205719,16645072.313296484,12433364.42084458,LCM 123
80,2,0,"[4, 5, 6, 7, 8, 9]",1229758.9841480255,889827.2257156372,417020786.71935016,301981178.6882372,ACL 2.09
81,2,1,"[20, 21]",1312561.7946338654,1016042.6031074524,201039965.9164993,151965836.2745338,LCM 124
82,2,2,"[22, 23]",995988.5761871338,743873.3926620483,215987302.34398916,160554232.61549744,LCM 125
83,2,3,"[24, 25]",1273497.1729068756,965704.5091896056,223498908.4145929,167302511.5904892,LCM 126
84,2,4,"[10, 11, 12, 13, 14, 15]",1528241.4872646332,997074.5407161711,637406802.7183812,420165275.10516685,ACL 2.10
85,2,5,"[26, 27]",419621.3182144165,336155.89558792114,163342616.6080763,130698123.48463516,LCM 127
86,2,6,"[28, 29]",661441.6384086609,546738.3775424957,126627427.9923018,104410425.15263538,LCM 128
87,2,7,"[30, 31]",509038.511713028,433018.9488010407,89834424.00045586,75098051.10269514,LCM 129
88,2,8,"[20, 21, 22, 23, 24, 25]",983371.1929149628,720497.030834198,403007738.49756986,292428818.999848,ACL 2.11
89,2,9,"[4, 5]",1038308.3129901886,906902.1600894928,165012325.99915707,141340416.25923312,LCM 130
90,2,10,"[6, 7]",1181691.48654747,1057186.5975437164,168166600.4776627,147962650.96306643,LCM 131
91,2,11,"[8, 9]",1081092.1829986572,950677.6437625884,173928147.8189469,151347232.85776573,LCM 132
92,2,12,"[26, 27, 28, 29, 30, 31]",1177793.416723251,863977.0911045074,535521522.2651199,399970658.1382875,ACL 2.12
93,2,13,"[10, 11]",474951.1132621765,376501.120923996,157074524.80105782,123146551.32649712,LCM 133
94,2,14,"[12, 13]",714719.8873806,583207.3167247772,127239961.296829,102629924.71248911,LCM 134
95,2,15,"[14, 15]",600409.7582168579,475642.66409111023,94565595.91764164,72665672.05974084,LCM 135
120,3,0,"[52, 53, 54, 55, 56, 57]",576633.672498703,382228.8024082184,332148907.21015,233323980.580094,ACL 2.13
121,3,1,"[52, 53]",759277.8156471252,566610.447965622,148336048.32772487,112067037.04528506,LCM 136
122,3,2,"[54, 55]",814645.6402606964,591705.0442886353,155040485.791231,114274733.20848396,LCM 137
123,3,3,"[56, 57]",833315.3090572357,596354.094461441,156906575.76225957,112510690.21769002,LCM 138
124,3,4,"[58, 59, 60, 61, 62, 63]",1072182.0047950745,615393.9207057953,447615062.1608756,272395868.7582685,ACL 2.14
125,3,5,"[58, 59]",640977.6544036865,489442.8605556488,125469098.43124384,96870034.96485096,LCM 139
126,3,6,"[60, 61]",254495.99214935303,194454.49700164795,104218856.49827604,81847750.80801384,LCM 140
127,3,7,"[62, 63]",384026.85672187805,282698.18268966675,78600039.5004699,58928977.425178446,LCM 141
128,3,8,"[36, 37, 38, 39, 40, 41]",710347.002040863,473263.843711853,308682576.5197322,216543433.0303748,ACL 2.15
129,3,9,"[36, 37]",719381.9613227844,611563.3509578705,111728029.412785,97336402.65710014,LCM 142
130,3,10,"[38, 39]",609678.5928649902,528377.2876148224,109980011.62983552,97189921.59396464,LCM 143
131,3,11,"[40, 41]",616117.5182762146,524052.8102455139,109497626.73632155,95184337.14820077,LCM 144
132,3,12,"[42, 43, 44, 45, 46, 47]",721999.8220176697,519869.9007720947,331646009.9873636,250579742.1745455,ACL 2.16
133,3,13,"[42, 43]",539546.1089267731,412313.7994480133,105060385.10384496,82667495.7412196,LCM 145
134,3,14,"[44, 45]",580970.3353977203,441144.888917923,94636479.48273608,74051591.4497374,LCM 146
135,3,15,"[46, 47]",414339.762960434,296573.31780815125,76414311.79139,55785999.16318033,LCM 147
160,4,0,"[42, 43, 44, 45, 46, 47]",905783.5926589966,609735.4938526154,336021876.316308,237445717.85229728,ACL 2.17
161,4,1,"[42, 43]",998551.5475845336,769774.7596607208,127012576.68395452,98965510.66427708,LCM 148
162,4,2,"[44, 45]",1056027.6967868805,854160.382768631,125807819.12349965,99539525.71942002,LCM 149
163,4,3,"[46, 47]",582471.2760639191,460869.7562236786,127804666.33208609,97944707.18577456,LCM 150
164,4,4,"[36, 37, 38, 39, 40, 41]",999666.622182846,675275.3547744751,369520635.9904248,258559440.49402887,ACL 2.18
165,4,5,"[52, 53]",445119.1003036499,348651.9735488892,117123567.7620271,95380658.4499876,LCM 151
166,4,6,"[54, 55]",1010820.3584804536,820362.4802379608,109459550.51785532,87351562.3910295,LCM 152
167,4,7,"[56, 57]",875726.8295078278,686235.035490036,85108910.66068442,65925858.1539892,LCM 153
168,4,8,"[58, 59, 60, 61, 62, 63]",888667.3693675995,568848.895324707,380437258.62320304,250536066.453102,ACL 2.19
169,4,9,"[58, 59]",1406694.4513607025,1052175.450925827,163374746.93732762,116929438.73814248,LCM 154
170,4,10,"[60, 61]",1539524.549495697,1168183.8477649689,167958273.67162433,118321421.33834676,LCM 155
171,4,11,"[62, 63]",1618722.1400642395,1210755.686920166,169727737.09393114,118169445.42393976,LCM 156
172,4,12,"[52, 53, 54, 55, 56, 57]",1184643.874414444,684300.8801040649,489783796.5908784,289207111.6622775,ACL 2.20
173,4,13,"[36, 37]",564941.682767868,435044.107465744,140052201.92038295,104907655.87616403,LCM 157
174,4,14,"[38, 39]",1057727.8942394257,861731.6413574219,115324384.1559726,90795204.203804,LCM 158
175,4,15,"[40, 41]",786625.82579422,644143.1262435913,85717593.28612113,68037567.82873681,LCM 159
200,5,0,"[26, 27, 28, 29, 30, 31]",1215124.7007598877,838599.7248744965,410020134.3249033,294525183.958373,ACL 2.21
201,5,1,"[26, 27]",1297524.2426071167,1063695.2896347046,177164157.92383686,144363683.2777289,LCM 160
202,5,2,"[28, 29]",1605174.3067207336,1333162.9060134888,184201049.7441575,150521813.64016998,LCM 161
203,5,3,"[30, 31]",1392826.4784488678,1105759.7336463928,192556602.8865508,148654911.94459483,LCM 162
204,5,4,"[20, 21, 22, 23, 24, 25]",1556196.820930481,1037328.0104732512,549344060.6402904,378912703.6084866,ACL 2.22
205,5,5,"[20, 21]",986177.7486915588,821592.53175354,149644537.13759613,127470293.18234693,LCM 163
206,5,6,"[22, 23]",1179064.447654724,1008123.7430419922,124181578.5204699,105573861.14488468,LCM 164
207,5,7,"[24, 25]",874698.3520507812,693015.1863517761,93845832.37967844,75773517.18284361,LCM 165
208,5,8,"[10, 11, 12, 13, 14, 15]",1026486.0781288148,721000.4868335724,437785658.3276342,313310846.10121447,ACL 2.23
209,5,9,"[10, 11]",1455258.6822605133,1181492.6282291412,203238033.04161516,162914335.29973856,LCM 166
210,5,10,"[12, 13]",1971446.8115940092,1619137.5768737793,218156080.4003576,173065102.71414158,LCM 167
211,5,11,"[14, 15]",2029210.748758316,1614161.0572662354,232590666.7143629,177141242.0862122,LCM 168
212,5,12,"[4, 5, 6, 7, 8, 9]",1402118.1614170074,859110.5167713165,662492084.172876,424830521.701279,ACL 2.24
213,5,13,"[4, 5]",720214.886844635,612565.5552024841,163712773.51518852,134705062.7892596,LCM 169
214,5,14,"[6, 7]",1105885.0427837372,947196.7082328796,126715856.42989154,106284486.04123154,LCM 170
215,5,15,"[8, 9]",854965.5432090759,722324.8195323944,91345294.1132342,76033061.00595313,LCM 171
240,6,0,"[4, 5, 6, 7, 8, 9]",709378.7413291931,411655.9860057831,332541095.33771944,209984255.22546375,ACL 2.25
241,6,1,"[4, 5]",-7.741945266723633,-7.741945266723633,142856133.8081449,107715432.1389686,LCM 172
242,6,2,"[6, 7]",1444362.3231964111,1141551.9082050323,151609162.19229177,111525488.61185582,LCM 173
243,6,3,"[8, 9]",1695357.8543453217,1378668.2675991058,156854788.9250714,117849383.13472234,LCM 174
244,6,4,"[10, 11, 12, 13, 14, 15]",1018293.205192566,560034.328414917,468360094.942344,267550558.21384788,ACL 2.26
245,6,5,"[10, 11]",1060552.5410289764,842167.8179321289,120085553.57394356,95513501.70578624,LCM 175
246,6,6,"[12, 13]",980351.5702342988,794097.7962608337,99213089.26254156,80109406.26170337,LCM 176
247,6,7,"[14, 15]",297663.6554470062,223844.302854538,75303444.0083798,57760475.85251261,LCM 177
248,6,8,"[20, 21, 22, 23, 24, 25]",266545.40648651123,180071.05633735657,286965953.04363394,203939127.8533976,ACL 2.27
249,6,9,"[20, 21]",1203748.5324630735,1026651.291185379,112551977.32765782,93952261.97382271,LCM 178
250,6,10,"[22, 23]",1028443.77302742,841894.5783119202,119851167.78188284,95886901.91746458,LCM 179
251,6,11,"[24, 25]",1278086.6781044006,1049950.302276611,125318153.0140551,98866778.25657669,LCM 180
252,6,12,"[26, 27, 28, 29, 30, 31]",853737.9228992462,528168.6320514679,383214203.1927319,251468448.74660248,ACL 2.28
253,6,13,"[26, 27]",950238.2319526672,773220.4939441681,106185897.57074852,88940892.33073632,LCM 181
254,6,14,"[28, 29]",976211.7738189696,799496.8456840515,91881754.77410875,78616157.26104656,LCM 182
255,6,15,"[30, 31]",713889.8584384918,496180.86302375793,76961821.29881217,59799601.73626612,LCM 183
280,7,0,"[52, 53, 54, 55, 56, 57]",1180530.373319626,786723.2386264801,386042494.5003911,266095350.8608845,ACL 2.29
